2025/12/03 02:43:49 PM > ep 126 done. total_steps=2545 | reward=12.0 | episode_steps=12 | hours=0.009 | epsilon=0.893
2025/12/03 02:43:49 PM > ep 127 done. total_steps=2561 | reward=16.0 | episode_steps=16 | hours=0.009 | epsilon=0.892
2025/12/03 02:43:49 PM > ep 128 done. total_steps=2600 | reward=39.0 | episode_steps=39 | hours=0.009 | epsilon=0.890
2025/12/03 02:43:50 PM > ep 129 done. total_steps=2640 | reward=40.0 | episode_steps=40 | hours=0.009 | epsilon=0.889
2025/12/03 02:43:50 PM > ep 130 done. total_steps=2650 | reward=10.0 | episode_steps=10 | hours=0.009 | epsilon=0.888
2025/12/03 02:43:50 PM > ep 131 done. total_steps=2658 | reward=8.0 | episode_steps=8 | hours=0.009 | epsilon=0.888
2025/12/03 02:43:51 PM > ep 132 done. total_steps=2677 | reward=19.0 | episode_steps=19 | hours=0.009 | epsilon=0.887
2025/12/03 02:43:51 PM > ep 133 done. total_steps=2690 | reward=13.0 | episode_steps=13 | hours=0.009 | epsilon=0.887
2025/12/03 02:43:51 PM > ep 134 done. total_steps=2720 | reward=30.0 | episode_steps=30 | hours=0.010 | epsilon=0.886
2025/12/03 02:43:52 PM > ep 135 done. total_steps=2739 | reward=19.0 | episode_steps=19 | hours=0.010 | epsilon=0.885
2025/12/03 02:43:52 PM > ep 136 done. total_steps=2763 | reward=24.0 | episode_steps=24 | hours=0.010 | epsilon=0.884
2025/12/03 02:43:53 PM > ep 137 done. total_steps=2778 | reward=15.0 | episode_steps=15 | hours=0.010 | epsilon=0.883
2025/12/03 02:43:53 PM > ep 138 done. total_steps=2796 | reward=18.0 | episode_steps=18 | hours=0.010 | epsilon=0.883
2025/12/03 02:43:53 PM > ep 139 done. total_steps=2810 | reward=14.0 | episode_steps=14 | hours=0.010 | epsilon=0.882
2025/12/03 02:43:53 PM > ep 140 done. total_steps=2823 | reward=13.0 | episode_steps=13 | hours=0.010 | epsilon=0.882
2025/12/03 02:43:54 PM > ep 141 done. total_steps=2841 | reward=18.0 | episode_steps=18 | hours=0.010 | epsilon=0.881
2025/12/03 02:43:54 PM > ep 142 done. total_steps=2862 | reward=21.0 | episode_steps=21 | hours=0.010 | epsilon=0.880
2025/12/03 02:43:54 PM > ep 143 done. total_steps=2872 | reward=10.0 | episode_steps=10 | hours=0.010 | epsilon=0.880
2025/12/03 02:43:54 PM > ep 144 done. total_steps=2882 | reward=10.0 | episode_steps=10 | hours=0.010 | epsilon=0.879
2025/12/03 02:43:54 PM > ep 145 done. total_steps=2895 | reward=13.0 | episode_steps=13 | hours=0.010 | epsilon=0.879
2025/12/03 02:43:55 PM > ep 146 done. total_steps=2916 | reward=21.0 | episode_steps=21 | hours=0.010 | epsilon=0.878
2025/12/03 02:43:55 PM > ep 147 done. total_steps=2943 | reward=27.0 | episode_steps=27 | hours=0.011 | epsilon=0.877
2025/12/03 02:43:55 PM > ep 148 done. total_steps=2961 | reward=18.0 | episode_steps=18 | hours=0.011 | epsilon=0.876
2025/12/03 02:43:56 PM > ep 149 done. total_steps=2975 | reward=14.0 | episode_steps=14 | hours=0.011 | epsilon=0.876
2025/12/03 02:43:56 PM > ep 150 done. total_steps=2986 | reward=11.0 | episode_steps=11 | hours=0.011 | epsilon=0.875
2025/12/03 02:43:56 PM > ep 151 done. total_steps=3020 | reward=34.0 | episode_steps=34 | hours=0.011 | epsilon=0.874
2025/12/03 02:43:57 PM > ep 152 done. total_steps=3077 | reward=57.0 | episode_steps=57 | hours=0.011 | epsilon=0.872
2025/12/03 02:43:57 PM > ep 153 done. total_steps=3095 | reward=18.0 | episode_steps=18 | hours=0.011 | epsilon=0.871
2025/12/03 02:43:58 PM > ep 154 done. total_steps=3104 | reward=9.0 | episode_steps=9 | hours=0.011 | epsilon=0.871
2025/12/03 02:43:58 PM > ep 155 done. total_steps=3118 | reward=14.0 | episode_steps=14 | hours=0.011 | epsilon=0.870
2025/12/03 02:43:58 PM > ep 156 done. total_steps=3136 | reward=18.0 | episode_steps=18 | hours=0.011 | epsilon=0.869
2025/12/03 02:43:59 PM > ep 157 done. total_steps=3174 | reward=38.0 | episode_steps=38 | hours=0.012 | epsilon=0.868
2025/12/03 02:43:59 PM > ep 158 done. total_steps=3209 | reward=35.0 | episode_steps=35 | hours=0.012 | epsilon=0.867
2025/12/03 02:44:00 PM > ep 159 done. total_steps=3228 | reward=19.0 | episode_steps=19 | hours=0.012 | epsilon=0.866
2025/12/03 02:44:00 PM > ep 160 done. total_steps=3259 | reward=31.0 | episode_steps=31 | hours=0.012 | epsilon=0.865
2025/12/03 02:44:01 PM > ep 161 done. total_steps=3285 | reward=26.0 | episode_steps=26 | hours=0.012 | epsilon=0.864
2025/12/03 02:44:02 PM > ep 162 done. total_steps=3343 | reward=58.0 | episode_steps=58 | hours=0.012 | epsilon=0.862
2025/12/03 02:44:02 PM > ep 163 done. total_steps=3378 | reward=35.0 | episode_steps=35 | hours=0.013 | epsilon=0.860
2025/12/03 02:44:02 PM > ep 164 done. total_steps=3389 | reward=11.0 | episode_steps=11 | hours=0.013 | epsilon=0.860
2025/12/03 02:44:03 PM > ep 165 done. total_steps=3424 | reward=35.0 | episode_steps=35 | hours=0.013 | epsilon=0.858
2025/12/03 02:44:03 PM > ep 166 done. total_steps=3444 | reward=20.0 | episode_steps=20 | hours=0.013 | epsilon=0.858
2025/12/03 02:44:04 PM > ep 167 done. total_steps=3456 | reward=12.0 | episode_steps=12 | hours=0.013 | epsilon=0.857
2025/12/03 02:44:04 PM > ep 168 done. total_steps=3475 | reward=19.0 | episode_steps=19 | hours=0.013 | epsilon=0.856
2025/12/03 02:44:04 PM > ep 169 done. total_steps=3496 | reward=21.0 | episode_steps=21 | hours=0.013 | epsilon=0.856
2025/12/03 02:44:05 PM > ep 170 done. total_steps=3530 | reward=34.0 | episode_steps=34 | hours=0.013 | epsilon=0.854
2025/12/03 02:44:05 PM > ep 171 done. total_steps=3553 | reward=23.0 | episode_steps=23 | hours=0.013 | epsilon=0.854
2025/12/03 02:44:06 PM > ep 172 done. total_steps=3602 | reward=49.0 | episode_steps=49 | hours=0.014 | epsilon=0.852
2025/12/03 02:44:07 PM > ep 173 done. total_steps=3670 | reward=68.0 | episode_steps=68 | hours=0.014 | epsilon=0.849
2025/12/03 02:44:07 PM > ep 174 done. total_steps=3701 | reward=31.0 | episode_steps=31 | hours=0.014 | epsilon=0.848
2025/12/03 02:44:08 PM > ep 175 done. total_steps=3755 | reward=54.0 | episode_steps=54 | hours=0.014 | epsilon=0.846
2025/12/03 02:44:09 PM > ep 176 done. total_steps=3795 | reward=40.0 | episode_steps=40 | hours=0.014 | epsilon=0.844
2025/12/03 02:44:10 PM > ep 177 done. total_steps=3837 | reward=42.0 | episode_steps=42 | hours=0.015 | epsilon=0.843
2025/12/03 02:44:10 PM > ep 178 done. total_steps=3854 | reward=17.0 | episode_steps=17 | hours=0.015 | epsilon=0.842
2025/12/03 02:44:10 PM > ep 179 done. total_steps=3883 | reward=29.0 | episode_steps=29 | hours=0.015 | epsilon=0.841
2025/12/03 02:44:11 PM > ep 180 done. total_steps=3895 | reward=12.0 | episode_steps=12 | hours=0.015 | epsilon=0.841
2025/12/03 02:44:11 PM > ep 181 done. total_steps=3924 | reward=29.0 | episode_steps=29 | hours=0.015 | epsilon=0.840
2025/12/03 02:44:12 PM > ep 182 done. total_steps=3956 | reward=32.0 | episode_steps=32 | hours=0.015 | epsilon=0.839
2025/12/03 02:44:12 PM > ep 183 done. total_steps=3967 | reward=11.0 | episode_steps=11 | hours=0.015 | epsilon=0.838
2025/12/03 02:44:12 PM > ep 184 done. total_steps=3990 | reward=23.0 | episode_steps=23 | hours=0.015 | epsilon=0.837
2025/12/03 02:44:13 PM > ep 185 done. total_steps=4054 | reward=64.0 | episode_steps=64 | hours=0.016 | epsilon=0.835
2025/12/03 02:44:14 PM > ep 186 done. total_steps=4113 | reward=59.0 | episode_steps=59 | hours=0.016 | epsilon=0.833
2025/12/03 02:44:15 PM > ep 187 done. total_steps=4171 | reward=58.0 | episode_steps=58 | hours=0.016 | epsilon=0.831
2025/12/03 02:44:16 PM > ep 188 done. total_steps=4201 | reward=30.0 | episode_steps=30 | hours=0.016 | epsilon=0.830
2025/12/03 02:44:17 PM > ep 189 done. total_steps=4255 | reward=54.0 | episode_steps=54 | hours=0.017 | epsilon=0.828
2025/12/03 02:44:18 PM > ep 190 done. total_steps=4305 | reward=50.0 | episode_steps=50 | hours=0.017 | epsilon=0.826
2025/12/03 02:44:20 PM > ep 191 done. total_steps=4429 | reward=124.0 | episode_steps=124 | hours=0.018 | epsilon=0.821
2025/12/03 02:44:21 PM > ep 192 done. total_steps=4450 | reward=21.0 | episode_steps=21 | hours=0.018 | epsilon=0.820
2025/12/03 02:44:22 PM > ep 193 done. total_steps=4508 | reward=58.0 | episode_steps=58 | hours=0.018 | epsilon=0.818
2025/12/03 02:44:23 PM > ep 194 done. total_steps=4617 | reward=109.0 | episode_steps=109 | hours=0.018 | epsilon=0.815
2025/12/03 02:44:24 PM > ep 195 done. total_steps=4653 | reward=36.0 | episode_steps=36 | hours=0.019 | epsilon=0.813
2025/12/03 02:44:24 PM > ep 196 done. total_steps=4691 | reward=38.0 | episode_steps=38 | hours=0.019 | epsilon=0.812
2025/12/03 02:44:25 PM > ep 197 done. total_steps=4732 | reward=41.0 | episode_steps=41 | hours=0.019 | epsilon=0.810
