2025/12/04 01:01:02 PM > ep 98 done. total_steps=32808 | reward=1.0 | episode_steps=117 | hours=0.051 | epsilon=0.275
2025/12/04 01:01:03 PM > ep 99 done. total_steps=32994 | reward=1.0 | episode_steps=186 | hours=0.051 | epsilon=0.273
2025/12/04 01:01:03 PM > ep 100 done. total_steps=33079 | reward=1.0 | episode_steps=85 | hours=0.051 | epsilon=0.272
2025/12/04 01:01:05 PM > ep 101 done. total_steps=33342 | reward=1.0 | episode_steps=263 | hours=0.052 | epsilon=0.270
2025/12/04 01:01:06 PM > ep 102 done. total_steps=33492 | reward=1.0 | episode_steps=150 | hours=0.052 | epsilon=0.269
2025/12/04 01:01:06 PM > ep 103 done. total_steps=33572 | reward=1.0 | episode_steps=80 | hours=0.052 | epsilon=0.268
2025/12/04 01:01:06 PM > ep 104 done. total_steps=33613 | reward=1.0 | episode_steps=41 | hours=0.052 | epsilon=0.268
2025/12/04 01:01:08 PM > ep 105 done. total_steps=33983 | reward=1.0 | episode_steps=370 | hours=0.053 | epsilon=0.265
2025/12/04 01:01:11 PM > ep 106 done. total_steps=34475 | reward=1.0 | episode_steps=492 | hours=0.053 | epsilon=0.261
2025/12/04 01:01:11 PM > ep 107 done. total_steps=34478 | reward=1.0 | episode_steps=3 | hours=0.053 | epsilon=0.261
2025/12/04 01:01:12 PM > ep 108 done. total_steps=34695 | reward=1.0 | episode_steps=217 | hours=0.054 | epsilon=0.259
2025/12/04 01:01:13 PM > ep 109 done. total_steps=34976 | reward=1.0 | episode_steps=281 | hours=0.054 | epsilon=0.257
2025/12/04 01:01:14 PM > ep 110 done. total_steps=35001 | reward=1.0 | episode_steps=25 | hours=0.054 | epsilon=0.256
2025/12/04 01:01:14 PM > ep 111 done. total_steps=35038 | reward=1.0 | episode_steps=37 | hours=0.054 | epsilon=0.256
2025/12/04 01:01:14 PM > ep 112 done. total_steps=35155 | reward=1.0 | episode_steps=117 | hours=0.054 | epsilon=0.255
2025/12/04 01:01:15 PM > ep 113 done. total_steps=35184 | reward=1.0 | episode_steps=29 | hours=0.054 | epsilon=0.255
2025/12/04 01:01:15 PM > ep 114 done. total_steps=35332 | reward=1.0 | episode_steps=148 | hours=0.055 | epsilon=0.254
2025/12/04 01:01:16 PM > ep 115 done. total_steps=35486 | reward=1.0 | episode_steps=154 | hours=0.055 | epsilon=0.253
