2025/12/04 01:49:24 PM > ep 195 done. total_steps=162141 | reward=1.0 | episode_steps=283 | hours=0.264 | epsilon=0.100
2025/12/04 01:49:30 PM > ep 196 done. total_steps=163141 | reward=0.0 | episode_steps=1000 | hours=0.266 | epsilon=0.100
2025/12/04 01:49:31 PM > ep 197 done. total_steps=163349 | reward=1.0 | episode_steps=208 | hours=0.266 | epsilon=0.100
2025/12/04 01:49:31 PM > ep 198 done. total_steps=163416 | reward=1.0 | episode_steps=67 | hours=0.266 | epsilon=0.100
2025/12/04 01:49:31 PM > ep 199 done. total_steps=163431 | reward=1.0 | episode_steps=15 | hours=0.267 | epsilon=0.100
2025/12/04 01:49:34 PM > ep 200 done. total_steps=163798 | reward=1.0 | episode_steps=367 | hours=0.267 | epsilon=0.100
2025/12/04 01:49:34 PM > ep 201 done. total_steps=163918 | reward=1.0 | episode_steps=120 | hours=0.267 | epsilon=0.100
2025/12/04 01:49:36 PM > ep 202 done. total_steps=164215 | reward=1.0 | episode_steps=297 | hours=0.268 | epsilon=0.100
2025/12/04 01:49:42 PM > ep 203 done. total_steps=165215 | reward=0.0 | episode_steps=1000 | hours=0.269 | epsilon=0.100
2025/12/04 01:49:42 PM > ep 204 done. total_steps=165239 | reward=1.0 | episode_steps=24 | hours=0.269 | epsilon=0.100
2025/12/04 01:49:43 PM > ep 205 done. total_steps=165411 | reward=1.0 | episode_steps=172 | hours=0.270 | epsilon=0.100
2025/12/04 01:49:45 PM > ep 206 done. total_steps=165744 | reward=1.0 | episode_steps=333 | hours=0.270 | epsilon=0.100
2025/12/04 01:49:46 PM > ep 207 done. total_steps=165891 | reward=1.0 | episode_steps=147 | hours=0.270 | epsilon=0.100
2025/12/04 01:49:46 PM > ep 208 done. total_steps=165980 | reward=1.0 | episode_steps=89 | hours=0.271 | epsilon=0.100
2025/12/04 01:49:48 PM > ep 209 done. total_steps=166275 | reward=1.0 | episode_steps=295 | hours=0.271 | epsilon=0.100
