2025/12/04 03:57:55 PM > ep 169 done. total_steps=96225 | reward=-55.53384918472676 | episode_steps=1000 | hours=0.176 | epsilon=0.107
2025/12/04 03:57:59 PM > ep 170 done. total_steps=97022 | reward=-165.57512021165093 | episode_steps=797 | hours=0.177 | epsilon=0.107
2025/12/04 03:58:06 PM > ep 171 done. total_steps=98022 | reward=-103.80474192234783 | episode_steps=1000 | hours=0.179 | epsilon=0.107
2025/12/04 03:58:09 PM > ep 172 done. total_steps=98604 | reward=-182.3439093570219 | episode_steps=582 | hours=0.180 | epsilon=0.107
2025/12/04 03:58:11 PM > ep 173 done. total_steps=98947 | reward=-160.81114790775246 | episode_steps=343 | hours=0.181 | epsilon=0.106
2025/12/04 03:58:13 PM > ep 174 done. total_steps=99255 | reward=-199.64982859843911 | episode_steps=308 | hours=0.181 | epsilon=0.106
2025/12/04 03:58:14 PM > ep 175 done. total_steps=99447 | reward=-140.15731175093836 | episode_steps=192 | hours=0.182 | epsilon=0.106
2025/12/04 03:58:15 PM > ep 176 done. total_steps=99630 | reward=-98.60693916131052 | episode_steps=183 | hours=0.182 | epsilon=0.106
2025/12/04 03:58:17 PM > ep 177 done. total_steps=99991 | reward=-175.33946116373835 | episode_steps=361 | hours=0.182 | epsilon=0.106
2025/12/04 03:58:19 PM > ep 178 done. total_steps=100317 | reward=-177.00938523705673 | episode_steps=326 | hours=0.183 | epsilon=0.106
2025/12/04 03:58:19 PM > ep 179 done. total_steps=100417 | reward=-205.74111901302885 | episode_steps=100 | hours=0.183 | epsilon=0.106
2025/12/04 03:58:20 PM > ep 180 done. total_steps=100500 | reward=-220.58761697245302 | episode_steps=83 | hours=0.183 | epsilon=0.106
2025/12/04 03:58:25 PM > ep 181 done. total_steps=101271 | reward=-218.54659144354056 | episode_steps=771 | hours=0.185 | epsilon=0.106
2025/12/04 03:58:33 PM > ep 182 done. total_steps=102271 | reward=-129.2861542583397 | episode_steps=1000 | hours=0.187 | epsilon=0.105
2025/12/04 03:58:34 PM > ep 183 done. total_steps=102490 | reward=-107.91579711493249 | episode_steps=219 | hours=0.187 | epsilon=0.105
2025/12/04 03:58:42 PM > ep 184 done. total_steps=103490 | reward=-6.366489403131954 | episode_steps=1000 | hours=0.189 | epsilon=0.105
2025/12/04 03:58:49 PM > ep 185 done. total_steps=104490 | reward=-114.85033312469491 | episode_steps=1000 | hours=0.191 | epsilon=0.105
2025/12/04 03:58:55 PM > ep 186 done. total_steps=105490 | reward=-103.43297754246184 | episode_steps=1000 | hours=0.193 | epsilon=0.105
2025/12/04 03:59:02 PM > ep 187 done. total_steps=106490 | reward=-55.928871374551235 | episode_steps=1000 | hours=0.195 | epsilon=0.104
2025/12/04 03:59:09 PM > ep 188 done. total_steps=107490 | reward=-117.85272054458886 | episode_steps=1000 | hours=0.197 | epsilon=0.104
2025/12/04 03:59:17 PM > ep 189 done. total_steps=108490 | reward=-101.04239492477686 | episode_steps=1000 | hours=0.199 | epsilon=0.104
2025/12/04 03:59:23 PM > ep 190 done. total_steps=109490 | reward=-9.760449239944018 | episode_steps=1000 | hours=0.201 | epsilon=0.104
2025/12/04 03:59:30 PM > ep 191 done. total_steps=110490 | reward=-100.92208013322495 | episode_steps=1000 | hours=0.203 | epsilon=0.104
2025/12/04 03:59:37 PM > ep 192 done. total_steps=111490 | reward=-118.43273406890044 | episode_steps=1000 | hours=0.205 | epsilon=0.103
2025/12/04 03:59:37 PM > ep 193 done. total_steps=111635 | reward=-118.24930816122148 | episode_steps=145 | hours=0.205 | epsilon=0.103
2025/12/04 03:59:44 PM > ep 194 done. total_steps=112635 | reward=-117.66854017696105 | episode_steps=1000 | hours=0.207 | epsilon=0.103
2025/12/04 03:59:51 PM > ep 195 done. total_steps=113635 | reward=-119.34281270435937 | episode_steps=1000 | hours=0.208 | epsilon=0.103
2025/12/04 03:59:57 PM > ep 196 done. total_steps=114635 | reward=-113.9532277987639 | episode_steps=1000 | hours=0.210 | epsilon=0.103
