2025/12/03 01:10:27 PM > ep 157 done. total_steps=3430 | reward=29.0 | episode_steps=29 | hours=0.012 | epsilon=0.858
2025/12/03 01:10:27 PM > ep 158 done. total_steps=3448 | reward=18.0 | episode_steps=18 | hours=0.012 | epsilon=0.858
2025/12/03 01:10:27 PM > ep 159 done. total_steps=3482 | reward=34.0 | episode_steps=34 | hours=0.013 | epsilon=0.856
2025/12/03 01:10:28 PM > ep 160 done. total_steps=3501 | reward=19.0 | episode_steps=19 | hours=0.013 | epsilon=0.856
2025/12/03 01:10:28 PM > ep 161 done. total_steps=3514 | reward=13.0 | episode_steps=13 | hours=0.013 | epsilon=0.855
2025/12/03 01:10:29 PM > ep 162 done. total_steps=3597 | reward=83.0 | episode_steps=83 | hours=0.013 | epsilon=0.852
2025/12/03 01:10:29 PM > ep 163 done. total_steps=3618 | reward=21.0 | episode_steps=21 | hours=0.013 | epsilon=0.851
2025/12/03 01:10:29 PM > ep 164 done. total_steps=3634 | reward=16.0 | episode_steps=16 | hours=0.013 | epsilon=0.851
2025/12/03 01:10:29 PM > ep 165 done. total_steps=3667 | reward=33.0 | episode_steps=33 | hours=0.013 | epsilon=0.849
2025/12/03 01:10:30 PM > ep 166 done. total_steps=3717 | reward=50.0 | episode_steps=50 | hours=0.013 | epsilon=0.847
2025/12/03 01:10:30 PM > ep 167 done. total_steps=3750 | reward=33.0 | episode_steps=33 | hours=0.013 | epsilon=0.846
2025/12/03 01:10:31 PM > ep 168 done. total_steps=3844 | reward=94.0 | episode_steps=94 | hours=0.014 | epsilon=0.843
2025/12/03 01:10:32 PM > ep 169 done. total_steps=3923 | reward=79.0 | episode_steps=79 | hours=0.014 | epsilon=0.840
2025/12/03 01:10:32 PM > ep 170 done. total_steps=3950 | reward=27.0 | episode_steps=27 | hours=0.014 | epsilon=0.839
2025/12/03 01:10:34 PM > ep 171 done. total_steps=4086 | reward=136.0 | episode_steps=136 | hours=0.014 | epsilon=0.834
2025/12/03 01:10:35 PM > ep 172 done. total_steps=4172 | reward=86.0 | episode_steps=86 | hours=0.015 | epsilon=0.831
2025/12/03 01:10:35 PM > ep 173 done. total_steps=4210 | reward=38.0 | episode_steps=38 | hours=0.015 | epsilon=0.829
2025/12/03 01:10:36 PM > ep 174 done. total_steps=4272 | reward=62.0 | episode_steps=62 | hours=0.015 | epsilon=0.827
2025/12/03 01:10:36 PM > ep 175 done. total_steps=4293 | reward=21.0 | episode_steps=21 | hours=0.015 | epsilon=0.826
2025/12/03 01:10:37 PM > ep 176 done. total_steps=4321 | reward=28.0 | episode_steps=28 | hours=0.015 | epsilon=0.825
2025/12/03 01:10:37 PM > ep 177 done. total_steps=4341 | reward=20.0 | episode_steps=20 | hours=0.015 | epsilon=0.824
2025/12/03 01:10:37 PM > ep 178 done. total_steps=4388 | reward=47.0 | episode_steps=47 | hours=0.015 | epsilon=0.823
2025/12/03 01:10:38 PM > ep 179 done. total_steps=4408 | reward=20.0 | episode_steps=20 | hours=0.015 | epsilon=0.822
2025/12/03 01:10:39 PM > ep 180 done. total_steps=4509 | reward=101.0 | episode_steps=101 | hours=0.016 | epsilon=0.818
2025/12/03 01:10:40 PM > ep 181 done. total_steps=4597 | reward=88.0 | episode_steps=88 | hours=0.016 | epsilon=0.815
2025/12/03 01:10:41 PM > ep 182 done. total_steps=4626 | reward=29.0 | episode_steps=29 | hours=0.016 | epsilon=0.814
2025/12/03 01:10:42 PM > ep 183 done. total_steps=4701 | reward=75.0 | episode_steps=75 | hours=0.017 | epsilon=0.812
2025/12/03 01:10:43 PM > ep 184 done. total_steps=4807 | reward=106.0 | episode_steps=106 | hours=0.017 | epsilon=0.808
2025/12/03 01:10:43 PM > ep 185 done. total_steps=4845 | reward=38.0 | episode_steps=38 | hours=0.017 | epsilon=0.806
2025/12/03 01:10:45 PM > ep 186 done. total_steps=4975 | reward=130.0 | episode_steps=130 | hours=0.017 | epsilon=0.802
2025/12/03 01:10:46 PM > ep 187 done. total_steps=5094 | reward=119.0 | episode_steps=119 | hours=0.018 | epsilon=0.798
2025/12/03 01:10:47 PM > ep 188 done. total_steps=5181 | reward=87.0 | episode_steps=87 | hours=0.018 | epsilon=0.795
2025/12/03 01:10:48 PM > ep 189 done. total_steps=5209 | reward=28.0 | episode_steps=28 | hours=0.018 | epsilon=0.794
2025/12/03 01:10:49 PM > ep 190 done. total_steps=5275 | reward=66.0 | episode_steps=66 | hours=0.018 | epsilon=0.791
2025/12/03 01:10:49 PM > ep 191 done. total_steps=5320 | reward=45.0 | episode_steps=45 | hours=0.019 | epsilon=0.790
2025/12/03 01:10:51 PM > ep 192 done. total_steps=5453 | reward=133.0 | episode_steps=133 | hours=0.019 | epsilon=0.785
2025/12/03 01:10:52 PM > ep 193 done. total_steps=5540 | reward=87.0 | episode_steps=87 | hours=0.019 | epsilon=0.782
2025/12/03 01:10:53 PM > ep 194 done. total_steps=5645 | reward=105.0 | episode_steps=105 | hours=0.020 | epsilon=0.779
2025/12/03 01:10:54 PM > ep 195 done. total_steps=5772 | reward=127.0 | episode_steps=127 | hours=0.020 | epsilon=0.774
2025/12/03 01:10:57 PM > ep 196 done. total_steps=5971 | reward=199.0 | episode_steps=199 | hours=0.021 | epsilon=0.768
2025/12/03 01:10:58 PM > ep 197 done. total_steps=6116 | reward=145.0 | episode_steps=145 | hours=0.021 | epsilon=0.763
2025/12/03 01:10:59 PM > ep 198 done. total_steps=6207 | reward=91.0 | episode_steps=91 | hours=0.021 | epsilon=0.760
2025/12/03 01:11:01 PM > ep 199 done. total_steps=6393 | reward=186.0 | episode_steps=186 | hours=0.022 | epsilon=0.754
2025/12/03 01:11:03 PM > ep 200 done. total_steps=6593 | reward=200.0 | episode_steps=200 | hours=0.023 | epsilon=0.747
2025/12/03 01:11:04 PM > ep 201 done. total_steps=6628 | reward=35.0 | episode_steps=35 | hours=0.023 | epsilon=0.746
2025/12/03 01:11:04 PM > ep 202 done. total_steps=6649 | reward=21.0 | episode_steps=21 | hours=0.023 | epsilon=0.745
2025/12/03 01:11:06 PM > ep 203 done. total_steps=6804 | reward=155.0 | episode_steps=155 | hours=0.023 | epsilon=0.740
